,Teste 01, Teste 02, Teste 03, Teste 04, Teste 05, Teste 06, Teste 07, Teste 08, Teste 09, Teste 10, Média, Melhor, x_best, y_best
gBest01, -686.9287, -731.1251, -879.8735, -665.3485, -715.3673, -690.9605, -735.2025, -703.3018, -843.315, -831.082, -748.2505, -879.8735, 455.2874, 471.1685
gBest02, -848.0297, -861.3654, -935.0982, -824.5164, -820.3891, -950.3246, -735.2025, -821.1489, -909.8894, -831.082, -853.7046, -950.3246, 512, 407.0708
gBest03, -848.0297, -861.3654, -953.7779, -933.8735, -820.3891, -959.4545, -735.2025, -821.1489, -959.0035, -831.082, -872.3327, -959.4545, 512.0, 403.8266
gBest04, -893.2527, -861.3654, -959.5527, -959.4006, -820.3891, -959.4545, -738.2146, -821.1489, -959.0035, -874.8929, -884.6675, -959.5527, 512, 404.5097
gBest05, -903.3082, -873.9029, -959.5527, -959.4815, -821.1675, -959.4545, -779.3662, -821.1489, -959.0035, -887.7986, -892.4185, -959.5527, 512, 404.5097
gBest06, -955.5388, -884.545, -959.5527, -959.4815, -821.1727, -959.4545, -779.3662, -821.1489, -959.4924, -916.1718, -901.5924, -959.5527, 512, 404.5097
gBest07, -958.4094, -894.0599, -959.5527, -959.6407, -821.1808, -959.601, -779.3662, -821.1958, -959.4924, -958.4039, -907.0903, -959.6407, 512, 404.231
gBest08, -958.9699, -894.0599, -959.5527, -959.6407, -821.1913, -959.601, -785.3887, -821.1958, -959.5319, -959.5615, -907.8693, -959.6407, 512, 404.231
gBest09, -959.6307, -894.0599, -959.585, -959.6407, -821.1913, -959.6222, -785.3887, -821.1958, -959.5319, -959.5615, -907.9408, -959.6407, 512, 404.231
gBest10, -959.6307, -894.0599, -959.6339, -959.6407, -821.1923, -959.6406, -812.768, -821.1958, -959.64, -959.5615, -910.6963, -959.6407, 512, 404.231
