,Teste 01, Teste 02, Teste 03, Teste 04, Teste 05, Teste 06, Teste 07, Teste 08, Teste 09, Teste 10, Média, Melhor, x_best, y_best
gBest01, -835.672, -653.1333, -789.0043, -819.3288, -821.7626, -844.5097, -685.1579, -800.3572, -538.5479, -842.8082, -763.0282, -844.5097, -449.1889, 389.8577
gBest02, -880.3303, -958.2542, -928.242, -846.8239, -858.5076, -844.5097, -876.6224, -853.4734, -821.0409, -845.9343, -871.3739, -958.2542, 512, 403.1232
gBest03, -946.9044, -958.2542, -959.5545, -885.505, -858.5076, -875.3977, -881.7225, -868.5067, -821.0409, -845.9343, -890.1328, -959.5545, 512, 404.5069
gBest04, -959.086, -959.636, -959.5545, -886.2262, -858.5974, -876.2914, -886.9133, -881.2053, -851.2382, -861.0565, -897.9805, -959.636, 512.0, 404.296
gBest05, -959.086, -959.636, -959.6313, -954.4057, -858.5974, -886.5178, -886.9133, -881.2053, -928.7481, -884.0117, -915.8753, -959.636, 512.0, 404.296
gBest06, -959.086, -959.636, -959.6313, -954.4057, -858.5974, -892.0402, -888.5842, -893.0263, -959.6394, -884.0117, -920.8658, -959.6394, 512, 404.2645
gBest07, -959.6084, -959.636, -959.6313, -957.938, -893.7311, -892.0402, -888.5842, -893.0263, -959.6394, -890.9254, -925.476, -959.6394, 512, 404.2645
gBest08, -959.6084, -959.636, -959.6313, -958.8476, -956.7564, -893.3849, -888.5842, -894.3526, -959.6394, -890.9254, -932.1366, -959.6394, 512, 404.2645
gBest09, -959.6084, -959.6407, -959.6406, -959.6238, -956.7564, -894.0252, -888.5842, -894.3526, -959.6394, -892.77, -932.4641, -959.6407, 512.0, 404.2321
gBest10, -959.6084, -959.6407, -959.6406, -959.6238, -956.7564, -894.0252, -888.7099, -894.552, -959.6394, -892.77, -932.4966, -959.6407, 512.0, 404.2321
