,Teste 01, Teste 02, Teste 03, Teste 04, Teste 05, Teste 06, Teste 07, Teste 08, Teste 09, Teste 10, Média, Melhor, x_best, y_best
gBest01, -760.9324, -617.2885, -622.097, -728.7842, -734.9543, -757.4489, -836.0978, -551.8822, -699.3429, -786.3788, -709.5207, -836.0978, 420.2225, 443.8805
gBest02, -900.7409, -617.2885, -745.9791, -881.4969, -734.9543, -959.5147, -836.0978, -742.4765, -699.3429, -892.0155, -800.9907, -959.5147, 512, 404.5644
gBest03, -941.1958, -779.2191, -745.9791, -881.4969, -734.9543, -959.5147, -902.1558, -820.7617, -705.4709, -892.0155, -836.2764, -959.5147, 512, 404.5644
gBest04, -941.1958, -779.2191, -755.9867, -883.1889, -803.4544, -959.5164, -940.9823, -820.7617, -762.4408, -892.0155, -853.8762, -959.5164, 512.0, 404.5621
gBest05, -959.6335, -779.2191, -755.9867, -913.8291, -803.9542, -959.5164, -958.3541, -821.0882, -851.7841, -893.4172, -869.6783, -959.6335, 512.0, 404.3114
gBest06, -959.6335, -779.2191, -775.7634, -959.2093, -803.9542, -959.5164, -958.3541, -821.1122, -858.5669, -894.292, -876.9621, -959.6335, 512.0, 404.3114
gBest07, -959.6335, -779.2191, -776.9535, -959.6407, -883.9872, -959.5164, -958.3541, -821.1711, -858.5669, -894.4715, -885.1514, -959.6407, 512, 404.2318
gBest08, -959.6335, -779.2191, -781.4725, -959.6407, -883.9872, -959.5212, -959.027, -821.1932, -858.5695, -894.4968, -885.6761, -959.6407, 512, 404.2318
gBest09, -959.6335, -779.2191, -785.9761, -959.6407, -894.3455, -959.5212, -959.6115, -821.1964, -858.5877, -894.4968, -887.2228, -959.6407, 512, 404.2318
gBest10, -959.6335, -779.2191, -785.9761, -959.6407, -894.3455, -959.5212, -959.6115, -821.1964, -878.2136, -894.5202, -889.1878, -959.6407, 512, 404.2318
