,Teste 01, Teste 02, Teste 03, Teste 04, Teste 05, Teste 06, Teste 07, Teste 08, Teste 09, Teste 10, Média, Melhor, x_best, y_best
gBest01, -678.444, -328.0148, -749.1599, -565.4821, -437.4074, -698.1563, -507.8149, -581.3996, -478.8212, -424.8274, -544.9528, -749.1599, -435.3591, 391.1492
gBest02, -747.3471, -854.9908, -815.7476, -565.4821, -466.9415, -729.6501, -745.5133, -858.5076, -488.5143, -568.8776, -684.1572, -858.5076, 356.9746, 512
gBest03, -825.3189, -854.9908, -820.8541, -577.8931, -821.1663, -856.3656, -794.8753, -927.8433, -546.0354, -816.6597, -784.2002, -927.8433, 442.63, 459.1272
gBest04, -854.8352, -854.9908, -820.8541, -588.2174, -821.1663, -857.8019, -869.5023, -927.8433, -549.0482, -816.6597, -796.0919, -927.8433, 442.63, 459.1272
gBest05, -894.541, -854.9908, -820.8541, -589.3909, -821.1663, -858.3971, -886.5476, -927.8433, -610.0587, -819.644, -808.3434, -927.8433, 442.63, 459.1272
gBest06, -894.541, -879.7595, -820.8541, -628.8446, -821.1663, -887.5291, -886.5476, -947.855, -780.6963, -819.644, -836.7437, -947.855, 512, 407.4222
gBest07, -894.541, -884.085, -820.8541, -676.8197, -821.1663, -887.5291, -889.8763, -953.1343, -799.0898, -819.6679, -844.6763, -953.1343, 512, 401.8183
gBest08, -894.541, -884.085, -884.6834, -701.9019, -821.1962, -887.5291, -889.8763, -953.1343, -799.0898, -819.9047, -853.5942, -953.1343, 512, 401.8183
gBest09, -894.541, -884.085, -884.6834, -701.9019, -821.1962, -887.9754, -889.8763, -959.2159, -854.9756, -821.1812, -859.9632, -959.2159, 512.0, 403.6192
gBest10, -894.541, -884.085, -884.6834, -704.1413, -821.1962, -888.5878, -889.8763, -959.2159, -854.9756, -821.1812, -860.2484, -959.2159, 512.0, 403.6192
