,Teste 01, Teste 02, Teste 03, Teste 04, Teste 05, Teste 06, Teste 07, Teste 08, Teste 09, Teste 10, Média, Melhor, x_best, y_best
gBest01, -929.1478, -861.0599, -798.3994, -770.0117, -708.706, -569.8828, -728.9591, -696.422, -929.4397, -662.5937, -765.4622, -929.4397, 434.8342, 448.5107
gBest02, -929.1478, -861.1747, -858.6006, -830.1654, -708.706, -631.6451, -894.427, -696.422, -953.6087, -820.3776, -818.4275, -953.6087, 512, 406.5195
gBest03, -956.4181, -959.5971, -858.6006, -958.6545, -708.706, -688.7469, -911.3636, -714.6926, -959.4424, -820.3776, -853.6599, -959.5971, 512, 404.4274
gBest04, -956.4181, -959.5971, -858.6006, -958.6545, -708.706, -801.7149, -911.3636, -714.6926, -959.4424, -843.707, -867.2897, -959.5971, 512, 404.4274
gBest05, -956.4181, -959.5971, -876.5068, -959.476, -708.706, -809.3722, -918.0542, -717.4956, -959.4424, -843.707, -870.8775, -959.5971, 512, 404.4274
gBest06, -959.5503, -959.5971, -881.5541, -959.476, -857.7716, -809.3722, -940.4405, -717.4956, -959.4424, -858.4033, -890.3103, -959.5971, 512, 404.4274
gBest07, -959.5503, -959.5971, -881.5541, -959.476, -858.2844, -821.1699, -959.0859, -717.4956, -959.4424, -858.601, -893.4257, -959.5971, 512, 404.4274
gBest08, -959.5503, -959.5971, -881.5541, -959.5774, -858.4707, -821.1699, -959.5406, -717.4956, -959.4424, -858.601, -893.4999, -959.5971, 512, 404.4274
gBest09, -959.6227, -959.5971, -887.6583, -959.5774, -858.4707, -821.1699, -959.5681, -717.4956, -959.4424, -858.601, -894.1203, -959.6227, 512.0, 404.3576
gBest10, -959.6227, -959.5971, -888.8393, -959.5774, -858.5588, -821.1924, -959.624, -717.4956, -959.4424, -858.601, -894.2551, -959.624, 512.0, 404.3527
